user,assistant
"m in the kitchen ... let yourself in ! 
  Wow ! You",ve even worked up a sweat .
You look so tan and healthy !,Thanks . I just got back from summer camp .
Thanks . I just got back from summer camp .,How was it ?
How was it ?,Great . I got to try so many things for the first time .
Great . I got to try so many things for the first time .,Like what ?
Like what ?,"I went sailing , fishing , and horseback riding ."
"I went sailing , fishing , and horseback riding .",I ’ m so jealous .
I ’ m so jealous .,The counselors were so nice too . It was the best summer ever . Except for all those mosquitoes !
"Diana , do you like the perfume I gave you ?","It ’ s good . But to tell you the truth , I don ’ t wear perfume ."
"It ’ s good . But to tell you the truth , I don ’ t wear perfume .",I ’ m sorry . I didn ’ t know that .
I ’ m sorry . I didn ’ t know that .,That ’ s all right . Thank you all the same .
"Ah , ah , ah ...",s your daily exercise schedule . You are to jog before breakfast .
"OK , you can stop now.It",t know how .
"Hi Bill , I saw your grandma yesterday .",Oh where was that ?
Oh where was that ?,I was running around the track at my college and there she was walking around the same track .
I was running around the track at my college and there she was walking around the same track .,Grannie always tries to stay fit and healthy.She is always making us kids eat the proper foods .
Grannie always tries to stay fit and healthy.She is always making us kids eat the proper foods .,"Well , it pays off for her.How old is she anyway ?"
"Well , it pays off for her.How old is she anyway ?",She will be 86 next month .
She will be 86 next month .,That is truly amazing !
I would like to register for a class today .,"No problem , what class would you like to take ?"
"No problem , what class would you like to take ?",m crazy .
"Dad , why are you taping the windows ?","Honey , a typhoon is coming ."
"Honey , a typhoon is coming .",t have to go to school tomorrow .
t have to go to school tomorrow .,OK . Dad ! I
"m from Russia . 
  Nice to meet you , Lean . My name is Alike . I",To me English is a difficult language .
To me English is a difficult language .,A second language is always difficult .
A second language is always difficult .,s a crazy language .
Can I help you ?,m looking for some material for a paper I
m looking for some material for a paper I,"m not quite sure where to look . 
  I"
"m not quite sure where to look . 
  I",My paper is on the influence of television on children .
My paper is on the influence of television on children .,There are several possible sources you might use for that topic . I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television .
There are several possible sources you might use for that topic . I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television .,Thank you for you help .
Here ’ s your hot dog and beer . What happened ? Did I miss anything ?,"Yeah , Cal Ripen just hit a home run ."
"Yeah , Cal Ripen just hit a home run .",What ’ s the score ?
What ’ s the score ?,"Well it was 3 to 4 , but Ripen ’ s home run made it 5 to 4 since another player was on first base ."
"Well it was 3 to 4 , but Ripen ’ s home run made it 5 to 4 since another player was on first base .",So Baltimore is winning ?
So Baltimore is winning ?,Right .
Right .,This is a really great place to watch a baseball game .
This is a really great place to watch a baseball game .,"Yeah , there isn ’ t a bad seat in the place ."
"Yeah , there isn ’ t a bad seat in the place .","The fans are great here , too . Not like in Philadelphia ."
"The fans are great here , too . Not like in Philadelphia .",It was a great idea to spend a day watching a game .
It was a great idea to spend a day watching a game .,"Yeah , it reminds you why they say baseball is America ’ s favorite pastime ."
How do you like the pizza here ?,Perfect . It really hits the spot .
I was scared stiff of giving my first performance .,Were you ? your performance was excellent .
Were you ? your performance was excellent .,Thank you for your kindly words .
Excuse me . Could you please take a picture of us with this camera ?,Sure . Which button do I press to shoot ?
Sure . Which button do I press to shoot ?,This one .
This one .,Do I have to focus it ?
Do I have to focus it ?,"No , this is a focus-free camera . All you have to do is point and press the button ."
"No , this is a focus-free camera . All you have to do is point and press the button .",All right . Say cheese !
Every country should face the history .,"Yeah , we don ’ t live in the vacuum . We have traditional values and long but different history ."
"Yeah , we don ’ t live in the vacuum . We have traditional values and long but different history .","Sometimes , we , human beings , really had done something wrong , so we should admit it at first ."
"Sometimes , we , human beings , really had done something wrong , so we should admit it at first .",But there is always somebody who wants to turn his back on the true history .
But there is always somebody who wants to turn his back on the true history .,"I believe such things won ’ t be realized , just daydreaming ."
"Do you like traveling , Kathy ?","I like traveling for pleasure to get places for vacation for instance . But I don ’ t like traveling to work , waiting for buses , or ..."
"I like traveling for pleasure to get places for vacation for instance . But I don ’ t like traveling to work , waiting for buses , or ...",Or getting stuck in traffic jams when you ’ re driving .
Or getting stuck in traffic jams when you ’ re driving .,Exactly .
Your house is too small . Why not buy a big one .,I do wish I could afford one .
I do wish I could afford one .,You can get a loan from the bank . You know LPF program provides low cost loans for participants home purchases .
"How do you do , Prof.Smith .","How do you do , Ms . Yang.You speak very good English ."
"How do you do , Ms . Yang.You speak very good English .",Thank you . I begin to like English even when I was a child .
Thank you . I begin to like English even when I was a child .,Where did you learn it ?
Where did you learn it ?,"At school , in China.This is my first time to be out of my own country ."
Do you want black or white coffee ?,"White , please"
"White , please","s a Folk concert tomorrow evening . Do you Want to go ? 
  I don"
"s a Folk concert tomorrow evening . Do you Want to go ? 
  I don",What kind of music do you like ?
What kind of music do you like ?,I like classical music . Do you ?
I like classical music . Do you ?,Not very much . Classical music sends me to sleep
Not very much . Classical music sends me to sleep,t believe you .
What do you like to do in your spare time ?,I like playing chess .
I like playing chess .,Do you have any hobbies besides playing chess ?
Do you have any hobbies besides playing chess ?,m afraid not .
"t find him anywhere . 
  Haven",What ? Beg your pardon .
What ? Beg your pardon .,John is in prison now . He was copped outstealing .
"Hey , Ted . What are you up to this Friday ?","Well , I have the day off from work ."
"Well , I have the day off from work .",That ’ s great ! Do you have any plans ?
That ’ s great ! Do you have any plans ?,"Well , I ’ Ve been working so hard lately , so I ’ ll probably just take it easy ."
"Well , I ’ Ve been working so hard lately , so I ’ ll probably just take it easy .",Sounds nice .
Sounds nice .,"Yeah , I ’ ll probably just stay in and relax . Maybe watch a few movies ."
"Yeah , I ’ ll probably just stay in and relax . Maybe watch a few movies .",Can I stop by ?
Can I stop by ?,Sure . Any time .
You honestly believe the world ’ s improving every year ?,"Yes , I do . I think that science is making us wiser . What do you think ?"
"Yes , I do . I think that science is making us wiser . What do you think ?",I don ’ t think you ’ re right there .
I don ’ t think you ’ re right there .,I believe industry is making us wealthier .
I believe industry is making us wealthier .,I don ’ t believe that .
I don ’ t believe that .,"And in my opinion , medicine is making us healthier ."
"And in my opinion , medicine is making us healthier .","I agree with you in the sense . But we ’ re all more miserable than ever , aren ’ t we ?"
"I agree with you in the sense . But we ’ re all more miserable than ever , aren ’ t we ?","I don ’ t agree with you . I maintain that we ’ re healthier , wealthier and wiser than we were a hundred years ago ."
"I don ’ t agree with you . I maintain that we ’ re healthier , wealthier and wiser than we were a hundred years ago .",That ’ s your opinion not mine .
What do you plan to do for your birthday ?,"I want to have a picnic with my friends , Mum ."
"I want to have a picnic with my friends , Mum .",How about a party at home ? That way we can get together and celebrate it .
How may I help you ?,I would like to return this book .
I would like to return this book .,Is that all you need ?
Is that all you need ?,I also want to check out this video .
I also want to check out this video .,Is that all you would like to check out ?
Is that all you would like to check out ?,That ’ s all I need .
That ’ s all I need .,Do you have your library card ?
Do you have your library card ?,Here it is .
Here it is .,Make sure to take proper care of this video .
Make sure to take proper care of this video .,That won ’ t be a problem .
That won ’ t be a problem .,"If you damage the video , you will be fined ."
"If you damage the video , you will be fined .",I won ’ t damage it .
s the matter with you then ? You look miserable .   It,What do you mean by us .
What do you mean by us .,"re busy . 
  That"
"re busy . 
  That",And you often go back to live with your parents and leave our son in the room by himself .
And you often go back to live with your parents and leave our son in the room by himself .,"I ... I ... I miss my parents , also they miss me ."
"I ... I ... I miss my parents , also they miss me .",t say anything about it .
t say anything about it .,Totally not . Perhaps it
"s the matter with you ? 
  I think I","m aching all over . 
  You"
"m aching all over . 
  You",ll be yourself pretty soon .
"Could you tell me the right time , please ?",Well . My watch says five past two . But it ’ s no use rely on it because it has been gaining and losing these last a few days .
Well . My watch says five past two . But it ’ s no use rely on it because it has been gaining and losing these last a few days .,You have to go and fix it .
You have to go and fix it .,Yes . I will .
does your family have a record of your ancestors ?,sure . My mom has been working on our family tree for years . She ’ s always updating it .
sure . My mom has been working on our family tree for years . She ’ s always updating it .,do you have a copy of your family tree in your house ? I ’ d love to see it .
do you have a copy of your family tree in your house ? I ’ d love to see it .,"I can show it to you now , if you like . I think it goes back about 8 generations so far ."
"I can show it to you now , if you like . I think it goes back about 8 generations so far .",that ’ s amazing . Do you have a large extended family ?
that ’ s amazing . Do you have a large extended family ?,I ’ Ve got 30 cousins on my mom ’ s side and 10 cousins on my dad ’ s side .
I ’ Ve got 30 cousins on my mom ’ s side and 10 cousins on my dad ’ s side .,are you very close to your first-cousins ?
are you very close to your first-cousins ?,"the ones that are my age are close relatives . Now that I ’ m older , I don ’ t spend as much time with them as I used to , so I don ’ t know my younger cousins as well as the older ones ."
"the ones that are my age are close relatives . Now that I ’ m older , I don ’ t spend as much time with them as I used to , so I don ’ t know my younger cousins as well as the older ones .",I see . who ’ s the head of your household ?
I see . who ’ s the head of your household ?,"it ’ s definitely my mother . And , her mother is definitely the matriarch of the bigger family ."
"it ’ s definitely my mother . And , her mother is definitely the matriarch of the bigger family .",that ’ s interesting . What does your grandfather think of your step-mother ?
that ’ s interesting . What does your grandfather think of your step-mother ?,"at first , she was quite critical of her , but now that they ’ Ve been married for a few years , she ’ s starting to accept the fact that my father divorced my mother ."
"at first , she was quite critical of her , but now that they ’ Ve been married for a few years , she ’ s starting to accept the fact that my father divorced my mother .","that ’ s pretty much how you feel about your step-mother . Like grandmother , like grandson ."
"Hi , Mr . Wang . Do you feel like going boating with me ?","t gone boating for some time now , and what time ?"
"ve been to the Saikei Ski Resort for the weekend . Did you enjoy it ? 
  Yes , it",t there any coach to teach you how to ski ?
You look pale recently .,Yeah . I have got much pressure in the company . I have tobe wrapped upon my work .
Yeah . I have got much pressure in the company . I have tobe wrapped upon my work .,Take good care of yourself .
Take good care of yourself .,Thank you . I will .
"Hey , Maggy , Did you hear about David ?","About David ? No , I didn ’ t hear anything ."
"About David ? No , I didn ’ t hear anything .","You know , about David and his new boss ."
"You know , about David and his new boss .","Sorry , I don ’ t quite follow you ."
"Sorry , I don ’ t quite follow you .","Well , I heard David has been fired ."
"Well , I heard David has been fired .","Oh , that is a shame . He is really hard working ."
how do you usually get to school ?,I usually ride my bike . Which form of transport do you prefer to use ?
I usually ride my bike . Which form of transport do you prefer to use ?,"I feel that I can see more when I pedal a bicycle , but when I feel lazy , I drive my car ."
"I feel that I can see more when I pedal a bicycle , but when I feel lazy , I drive my car .",I think we should discourage people from using their private cars . They produce too much pollution !
I think we should discourage people from using their private cars . They produce too much pollution !,"s just so convenient . 
  cars might be convenient , but they"
"s just so convenient . 
  cars might be convenient , but they",do you have a car ?
do you have a car ?,"t really need it . 
  maybe if I sold my car now , I wouldn"
"t really need it . 
  maybe if I sold my car now , I wouldn",you could try . It would save you a lot of money .
you could try . It would save you a lot of money .,"s true . Every month , I spend hundreds of dollars on gas , insurance , and repairs ."
"What are you going to do for one year abroad , Tom ?","Study , study , study . I want to learn a lot ."
"Study , study , study . I want to learn a lot .",You are going to take courses ?
You are going to take courses ?,Yes . I am going to take some university courses there .
Yes . I am going to take some university courses there .,Sounds hard .
Sounds hard .,s probably for the best .
s probably for the best .,"Hey , I am a pretty cool guy . I will make friends , and I"
"t this lovely weather ? Will you help me water the flowers , Jack ?",I do.We haven
I do.We haven,t you see the dark clouds ? It
t you see the dark clouds ? It,"t have to work.How nice ! 
  But I don"
"t have to work.How nice ! 
  But I don",s so nice .
s so nice .,The weather report says it
"On , darn . The grocery store is closed .","Yeah , this one closes at ten . We could drive to the 24 - hour store on sixth ."
"Yeah , this one closes at ten . We could drive to the 24 - hour store on sixth .",Alright . We are out of everything .
Alright . We are out of everything .,I wish the store close to us was open 24 - house a day .
I wish the store close to us was open 24 - house a day .,"I know , our schedules are so weird . Sometimes , the little corner store is the only thing within walking distance that ’ s open when we get home ."
"I know , our schedules are so weird . Sometimes , the little corner store is the only thing within walking distance that ’ s open when we get home .","Yeah , and the prices there are very high ."
"Yeah , and the prices there are very high .",I know . Three dollars for milk .
Do you think they two will get married ?,You can count on it .
You can count on it .,"I think so.Yes , they get along so well ."
"I think so.Yes , they get along so well .",s good for her .   You
"Dad , where are we off to ?",First we will go to the city centre and stop for something to drink . Then we will visit the University Museum .
First we will go to the city centre and stop for something to drink . Then we will visit the University Museum .,Where are we going to have a drink ?
Where are we going to have a drink ?,There is a coffee shop round the corner . Can you see that big building at the end of the road ?
That is a bank . The coffee shop is opposite the bank .,Good . I will have hot chocolate .
Good . I will have hot chocolate .,A stop ! Wait for the lights to turn green .
A stop ! Wait for the lights to turn green .,s around you .
How about going to the cinema tonight ?,s great . What
s great . What,s a romantic one .
I feel so uncomfortable .,Are you sick ?
Are you sick ?,No . The teacher is dragging the chalk over the blackboard . It set my teeth on edge .
No . The teacher is dragging the chalk over the blackboard . It set my teeth on edge .,He ’ ll finish writing in a minute .
I have made up my mind . I am getting a tattoo .,Really ? Are you sure ?
Really ? Are you sure ?,Yeah ! Why not ? They are trendy and look great ! I want to get a dragon on my arm or maybe a tiger on my back .
Yeah ! Why not ? They are trendy and look great ! I want to get a dragon on my arm or maybe a tiger on my back .,"Yeah but , it is something that you will have forever ! They use indelible ink that can only be removed with laser treatment . On top of all that , I have heard it hurts a lot !"
"Yeah but , it is something that you will have forever ! They use indelible ink that can only be removed with laser treatment . On top of all that , I have heard it hurts a lot !",Really ?
Really ?,Of course ! They use this machine with a needle that pokes your skin and inserts the ink .
Of course ! They use this machine with a needle that pokes your skin and inserts the ink .,"Oh , I didn ’ t know that ! I thought they just paint it on your skin or something ."
"Oh , I didn ’ t know that ! I thought they just paint it on your skin or something .","I think you should reconsider and do some more research about tattoos . Also , find out where the nearest tattoo parlor is and make sure they used sterilized needles , and that the place is hygienic ."
"I think you should reconsider and do some more research about tattoos . Also , find out where the nearest tattoo parlor is and make sure they used sterilized needles , and that the place is hygienic .",Maybe I should just get a tongue piercing !
"s the screen near your steering wheel for ? 
  It","s a popular thing now . 
  Oh , that"
"s a popular thing now . 
  Oh , that",s on everyday ?
"Oh , no !",How dreadful !
How dreadful !,Look at the view from the window .
Look at the view from the window .,"Oh , dear . That ’ s terrible . Not at all what I expected ."
"Oh , dear . That ’ s terrible . Not at all what I expected .","It ’ s awful , isn ’ t it ?"
"It ’ s awful , isn ’ t it ?",I can ’ t bear to look at it . I ’ m rather disappointed .
I can ’ t bear to look at it . I ’ m rather disappointed .,It can ’ t be helped .
"What do you do in your free time , Nancy ?","Well , I like playing the violin ."
"Well , I like playing the violin .",Really ? How long have you been playing the violin ?
Really ? How long have you been playing the violin ?,About ten years so far . I started learning when I was in middle school .
About ten years so far . I started learning when I was in middle school .,s really interesting .
s really interesting .,"Well , I like collecting matchbox ! I"
"Well , I like collecting matchbox ! I",Of course it does . Everybody has his own hobby .
How can I tell her about this ?,"t worry , you"
"t worry , you",There is no need to be so frustrated .
There is no need to be so frustrated .,How can you live without job in the future ?
How can you live without job in the future ?,"t worry , you"
What sports do you like to play ?,I like baseball and basketball .
I like baseball and basketball .,How about football ?
How about football ?,"In my country football is brand new , so I never learned the game when I was younger ."
"In my country football is brand new , so I never learned the game when I was younger .",s a very popular game in America .
s a very popular game in America .,"For me , it"
"For me , it",Are you a football player ?
Are you a football player ?,re too old to play tackle football .
I see . It,"re welcome to join us . 
  I"
"re welcome to join us . 
  I","s go down together . 
  Ok . I"
"s go down together . 
  Ok . I",Great .
What upsets you ?,"My parents called . As usual , they reminded me again that I should have a plan to marry by my late 20s . Easier said then done . Who should I marry ? I have no time to go on a date ."
"My parents called . As usual , they reminded me again that I should have a plan to marry by my late 20s . Easier said then done . Who should I marry ? I have no time to go on a date .",It is not your mother finding one for you ?
It is not your mother finding one for you ?,"I will find one myself , of course . I ’ m a modern girl ."
"I will find one myself , of course . I ’ m a modern girl .","Perhaps you can try the three minutes date , the latest type ."
"Perhaps you can try the three minutes date , the latest type .","You mean dozens of the opposite sex meet each other for three minutes in a dimly bar serving alcohol , I hate that idea ."
"You mean dozens of the opposite sex meet each other for three minutes in a dimly bar serving alcohol , I hate that idea .","No , there is an updated virgin , three minutes video date . I know an online dating website providing such service with a microphone and webcam , you can sigh for it . You can be face-to-face with a guy talking for maximum three minutes ."
"No , there is an updated virgin , three minutes video date . I know an online dating website providing such service with a microphone and webcam , you can sigh for it . You can be face-to-face with a guy talking for maximum three minutes .",I don ’ t think it makes sense . Three minutes is such a short time .
I don ’ t think it makes sense . Three minutes is such a short time .,"I think you can find out if there is a possibility of romance within the first second of meeting someone , so-called love at first sight ."
"I think you can find out if there is a possibility of romance within the first second of meeting someone , so-called love at first sight .","Anyway , I don ’ t want to post my face up for sale on the internet like that ."
"Anyway , I don ’ t want to post my face up for sale on the internet like that .","Don ’ t worry . There are many other options using the internet as dating methods . Some sites operate at international standard even have got certifications . Of course , for these sites , you have to pay a membership fee . But all in all , it is more serious and professional . The chance of meeting a good and serious person who does not play games is higher ."
"Don ’ t worry . There are many other options using the internet as dating methods . Some sites operate at international standard even have got certifications . Of course , for these sites , you have to pay a membership fee . But all in all , it is more serious and professional . The chance of meeting a good and serious person who does not play games is higher .",I don ’ t want to post my personal information on the internet . I ’ m not knowing who is reading it .
Are you going to the party on Saturday ?,I was thinking about it . Are you ?
I was thinking about it . Are you ?,s going to be a lot of fun .
How do you know it,"This party is going to have a DJ , food , and drinks ."
"This party is going to have a DJ , food , and drinks .",s going to be fun .
Could you talk to me for a few minutes about my grades ?,Step into my office for a moment . What is your concern ?
Step into my office for a moment . What is your concern ?,Am I failing ?
Am I failing ?,s go on the computer to see what
s go on the computer to see what,I am pretty sure that I am in trouble .
I am pretty sure that I am in trouble .,"I can see that you are trying , but where do you think you could improve ?"
"I can see that you are trying , but where do you think you could improve ?",I missed a few classes ; I need to make sure I come to school on a regular basis .
I missed a few classes ; I need to make sure I come to school on a regular basis .,"Having a regular study routine and following it is very important , right ?"
"Having a regular study routine and following it is very important , right ?",ll try ; it
ll try ; it,Thanks for stopping by !
So he said he,s a brick ?
"t you open the box ? 
  I wanted to . But he said , no , the box is still in its plastic wrap from the store.If it",t believe it
t believe it,So he had the boxes wrapped in plastic .
So he had the boxes wrapped in plastic .,"Yes , it was the kind of perfect plastic wrap that comes with new products.Look , it even had a bar-code price sticker on it ! It looked brand new ."
"Yes , it was the kind of perfect plastic wrap that comes with new products.Look , it even had a bar-code price sticker on it ! It looked brand new .",But why would a guy be selling new video cameras for twenty dollars ?
But why would a guy be selling new video cameras for twenty dollars ?,He said he had to get rid of them . They were stolen .
He said he had to get rid of them . They were stolen .,"Aha ! Now I understand.You were trying to buy stolen goods on the sidewalk.So , what I think is , you deserve to get cheated !"
"Aha ! Now I understand.You were trying to buy stolen goods on the sidewalk.So , what I think is , you deserve to get cheated !","mon , don"
"mon , don","t understand how he could have such a perfect-looking box . 
  That"
"t understand how he could have such a perfect-looking box . 
  That",s easy.And probably it
s easy.And probably it,"s a good profit if they can sell enough bricks . 
  You"
Is the clock right ?,m afraid it gains a little .
s up ?,"Oh , that"
"Oh , that","t think so at first . But as we started talking , I found him extremely funny and witty . I couldn"
"t think so at first . But as we started talking , I found him extremely funny and witty . I couldn",It seems you two are a good match . What qualities do you look for in a friend ?
It seems you two are a good match . What qualities do you look for in a friend ?,s nothing definite I think . I don
s nothing definite I think . I don,s something I
s something I,"t expect a close relationship with a dishonest person . Those are the people that will turn their back on you when you are in need . 
  Yeah , I know . A friend in need is a friend indeed . I don"
What ’ s up ? You don ’ t look too good .,"Yeah , my head hurts , that ’ s all . I ’ Ve been in physics class all day . It ’ s killer !"
"Yeah , my head hurts , that ’ s all . I ’ Ve been in physics class all day . It ’ s killer !","I liked physics . It ’ s all math , really . arcs , curves , velocity , cool stuff ."
"I liked physics . It ’ s all math , really . arcs , curves , velocity , cool stuff .","Yeah , yeah , but today ’ s lesson was all about the creation of the universe ."
"Yeah , yeah , but today ’ s lesson was all about the creation of the universe .",A physics class about the creation of the universe ? That ’ s some pretty unscientific language there . Sounds more religious to me .
A physics class about the creation of the universe ? That ’ s some pretty unscientific language there . Sounds more religious to me .,It ’ s all religion . Take the theory of the Big Bang.How is it possible that all of the stuff in the universe comes from an explosion ? That ’ s no better than Atlas carrying the globe on his back or African myths about turtles and stuff .
It ’ s all religion . Take the theory of the Big Bang.How is it possible that all of the stuff in the universe comes from an explosion ? That ’ s no better than Atlas carrying the globe on his back or African myths about turtles and stuff .,"Turtles ? Whatever ... Look , all that ’ s required for the creation of matter an imbalance of particles and anti-particles . At least , that ’ s what the math says ."
"Turtles ? Whatever ... Look , all that ’ s required for the creation of matter an imbalance of particles and anti-particles . At least , that ’ s what the math says .","Math , sheath . What ’ s the evidence ?"
"Math , sheath . What ’ s the evidence ?","There is evidence ! You know Edwin Hubble ? He ’ s the guy who in the early twentieth century was the first scientist to measure the drift of matter in the universe , thus advancing notions of an expanding universe . What would it be expanding from ? Well , the Big Bang ... DUH !"
"There is evidence ! You know Edwin Hubble ? He ’ s the guy who in the early twentieth century was the first scientist to measure the drift of matter in the universe , thus advancing notions of an expanding universe . What would it be expanding from ? Well , the Big Bang ... DUH !","Anyway , it ’ s just a theory . Why do people go around touting theories ? Where ’ s the scientific rigor in that ?"
"Anyway , it ’ s just a theory . Why do people go around touting theories ? Where ’ s the scientific rigor in that ?","Dude , don ’ t equivocate . A theory only becomes a theory after withstanding rigorous testing . You slept through class , didn ’ t you ?"
Today more and more people advocate lifelong learning . But people have different views about lifelong learning . How do you understand lifelong learning ?,s never too soon or too late for learning
"s about your attitude towards learning . One should be open to new ideas , decisions , skills or behaviors . 
  Then the axiom -",t teach an old dog new tricks
t teach an old dog new tricks,"t work any longer . 
  You"
"t work any longer . 
  You","Yes , I agree with you . When I retired I will participate in programs to keep momentally active ."
"Yes , I agree with you . When I retired I will participate in programs to keep momentally active .","Me too . To keep up with the changing world , one must be involved in lifelong learning and be ready to accept new things ."
"Me too . To keep up with the changing world , one must be involved in lifelong learning and be ready to accept new things .","ve recently been teaching myself French . 
  Really ? That"
"ve recently been teaching myself French . 
  Really ? That","Yes , so I want to learn French to develop my career ."
How old are you ?,"ll be ten on May 1st.When is your birthday ? 
  I"
"ll be ten on May 1st.When is your birthday ? 
  I",ll be ten on April 14th .
ll be ten on April 14th .,Maybe . I
